,name,lat,lng,main_office,total_offices,total_money_raised,founded_year,geo
0,GENWI,33.8171,-111.9035,"{'type': 'Point', 'coordinates': [-111.9035, 33.8171]}",1,$7.1M,2010,"-111.9035, 33.8171"
1,Fixya,37.566879,-122.323895,"{'type': 'Point', 'coordinates': [-122.323895, 37.566879]}",1,$8M,2013,"-122.323895, 37.566879"
2,Needium,45.5049305,-73.5681635,"{'type': 'Point', 'coordinates': [-73.5681635, 45.5049305]}",1,$1M,2010,"-73.5681635, 45.5049305"
3,RazorGator,34.047312,-118.445243,"{'type': 'Point', 'coordinates': [-118.445243, 34.047312]}",1,$58.8M,2011,"-118.445243, 34.047312"
4,Skydeck,37.5645375,-122.3254705,"{'type': 'Point', 'coordinates': [-122.3254705, 37.5645375]}",1,$4M,2012,"-122.3254705, 37.5645375"
5,Handipoints,37.772323,-122.214897,"{'type': 'Point', 'coordinates': [-122.214897, 37.772323]}",1,$800k,2009,"-122.214897, 37.772323"
6,Moblica,32.0554,34.7595,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",1,$6M,2011,"34.7595, 32.0554"
7,Magento,34.052187,-118.243425,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}",1,$22.5M,2010,"-118.243425, 34.052187"
